"OBJECTID,N,9,0","id,N,9,0","xcoord,N,19,11","ycoord,N,19,11","venueSize,N,9,0","gigName,C,254","locationNa,C,254","billing,C,254","headlineAr,C,254","date,D","year,N,9,0","month,N,9,0","day,N,9,0","time,C,254",XBNG,YBNG
1,0,-1.4750974,53.381763,-1,"Arctic Monkeys at The Grapes (June 13, 2003)","Sheffield, UK",,,13/06/03,2003,6,13,null,435013.1884,387340.9274
2,1,-1.4665397,53.384872,-1,"Arctic Monkeys with Milburn at The Boardwalk (October 23, 2003)","Sheffield, UK",,,23/10/03,2003,10,23,null,435579.8466,387691.0241
3,2,-1.4726095,53.37844,-1,"Arctic Monkeys at The Room (February 3, 2004)","Sheffield, UK",,,03/02/04,2004,2,3,null,435181.4086,386972.46
4,3,-1.468,53.38,-1,"Arctic Monkeys at The Takapuna (February 12, 2004)","Sheffield, UK",,,12/02/04,2004,2,12,null,435486.7548,387148.2854
5,4,-1.468,53.38,-1,"Arctic Monkeys with Milburn at Deepend (April 7, 2004)","Sheffield, UK",,,07/04/04,2004,4,7,null,435486.7548,387148.2854
6,5,-1.468,53.38,-1,"The Ordinary Boys and Arctic Monkeys at Fuzz Club (April 29, 2004)","Sheffield, UK",,,29/04/04,2004,4,29,null,435486.7548,387148.2854
7,6,-1.4750974,53.381763,-1,"Arctic Monkeys with Milburn at The Grapes (May 22, 2004)","Sheffield, UK",,,22/05/04,2004,5,22,null,435013.1884,387340.9274
8,7,-1.4750974,53.381763,-1,"Arctic Monkeys with Milburn at The Grapes (June 5, 2004)","Sheffield, UK",,,05/06/04,2004,6,5,null,435013.1884,387340.9274
9,8,-1.468,53.38,-1,"Arctic Monkeys at Secret Venue (August 25, 2004)","Sheffield, UK",,,25/08/04,2004,8,25,null,435486.7548,387148.2854
10,9,-1.1377037,52.631897,-1,"Arctic Monkeys and The Hurt Process with Stories And Comets at Princess Charlotte (September 7, 2004)","Leicester, UK",,,07/09/04,2004,9,7,null,458458.2215,304142.5382
11,10,-1.0837212,53.96427,-1,"Arctic Monkeys at Certificate 18 (September 16, 2004)","York, UK",,,16/09/04,2004,9,16,null,460211.7062,452409.5479
