 ,"id,N,9,0","xcoord,N,19,11","ycoord,N,19,11","venueSize,N,9,0","gigName,C,254","locationNa,C,254","billing,C,254","headlineAr,C,254","date,D","year,N,9,0","month,N,9,0","day,N,9,0","time,C,254",XBNG,YBNG
1,0,-3.1771,51.478,-1,"The Wonder Stuff with The Libertines at Cardiff University (October 21, 1988)","Cardiff, UK",,,21/10/88,1988,10,21,null,318350.4357,176106.3257
2,1,-0.8992343,52.239994,-1,"Kirsty MacColl with The Libertines at Roadmender (May 11, 1995)","Northampton, UK",,,11/05/95,1995,5,11,null,475261.3781,260771.1997
3,2,-1.4912771,53.381065,-1,"Kirsty MacColl with The Libertines at Octagon Centre, University of Sheffield (May 18, 1995)","Sheffield, UK",,,18/05/95,1995,5,18,null,433937.4985,387255.4863
4,3,-1.8998971,52.474327,250,"The Strokes with The Libertines at O2 Academy 3 Birmingham (June 26, 2001)","Birmingham, UK",,,26/06/01,2001,6,26,null,406896.471,286270.8479
5,4,-0.1888236,51.518295,-1,"The Libertines at Cherry Jam (February 21, 2002)","London, UK",,,21/02/02,2002,2,21,null,525764.0003,181485.1055
6,5,-1.5604258,53.806282,-1,"The Strokes with The Libertines and Stereo Total at Leeds University Union (February 23, 2002)","Leeds, UK",,,23/02/02,2002,2,23,null,429045.8366,434532.5657
7,6,-0.1335821,50.82869,-1,"The Libertines at Freebutt (March 3, 2002)","Brighton, UK",,,03/03/02,2002,3,3,null,531543.0025,104898.8568
8,7,-0.1510835,51.5434,200,"The Vines with The Libertines at The Barfly (March 7, 2002)","London, UK",,,07/03/02,2002,3,7,null,528311.8227,184342.3655
9,8,-1.1458642,52.953705,-1,"The Libertines and The Chemistry Experiment at The Bodega Social Club (March 8, 2002)","Nottingham, UK",,,08/03/02,2002,3,8,null,457480.9986,339933.189
10,9,-2.596749,51.4475,-1,"The Vines with The Libertines at The Louisiana (March 9, 2002)","Bristol, UK",,,09/03/02,2002,3,9,null,358625.9991,172225.9903
11,10,-0.1335821,50.82869,-1,"The Vines with The Libertines at Freebutt (March 12, 2002)","Brighton, UK",,,12/03/02,2002,3,12,null,531543.0025,104898.8568
12,11,-1.5030988,52.412834,-1,"The Libertines and Six by Seven at Kasbah (April 6, 2002)","Coventry, UK",,,06/04/02,2002,4,6,null,433895.735,279542.0324
13,12,0.4799279,51.727863,-1,"The Libertines at Army & Navy Pub (April 12, 2002)","Chelmsford, UK",,,12/04/02,2002,4,12,null,571368.1703,206148.5386
14,13,-1.2206911,51.73873,1020,"The Libertines with The Vines at O2 Academy Oxford (April 13, 2002)","Oxford, UK",,,13/04/02,2002,4,13,null,453908.7988,204734.237
15,14,-2.596749,51.4475,-1,"The Libertines at The Louisiana (May 13, 2002)","Bristol, UK",,,13/05/02,2002,5,13,null,358625.9991,172225.9903
16,15,-0.0715103,51.52172,650,"The Libertines at 93 Feet East (May 14, 2002)","London, UK",,,14/05/02,2002,5,14,null,533893.0041,182073.9439
17,16,-0.4741874,52.139168,100,"The Libertines at Esquires Bedford (May 16, 2002)","Bedford, UK",,,16/05/02,2002,5,16,null,504519.6639,250083.2378
18,17,-0.8904272,52.242805,-1,"The Libertines at The Soundhaus (May 17, 2002)","Northampton, UK",,,17/05/02,2002,5,17,null,475857.9553,261093.024
19,18,0.7187767,51.533085,-1,"The Libertines at Chinnery's (May 18, 2002)","Southend, UK",,,18/05/02,2002,5,18,null,588667.3022,185078.8541
20,19,-1.8998971,52.474327,250,"The Libertines at O2 Academy 3 Birmingham (May 21, 2002)","Birmingham, UK",,,21/05/02,2002,5,21,null,406896.471,286270.8479
21,20,-1.1458642,52.953705,-1,"The Libertines at The Bodega Social Club (May 22, 2002)","Nottingham, UK",,,22/05/02,2002,5,22,null,457480.9986,339933.189
22,21,-0.1888236,51.518295,-1,"British Sea Power and The Libertines at Cherry Jam (May 23, 2002)","London, UK",,,23/05/02,2002,5,23,null,525764.0003,181485.1055
23,22,-2.9791424,53.402172,-1,"The Libertines at Zanzibar (June 1, 2002)","Liverpool, UK",,,01/06/02,2002,6,1,null,334998.0006,389930.0727
24,23,0.0831734,51.769306,-1,"The Libertines at The Square (June 2, 2002)","Harlow, UK",,,02/06/02,2002,6,2,null,543838.526,209900.3012
25,24,-0.1346985,51.5064,350,"The Libertines at Institute of Contemporary Arts (ICA) (June 3, 2002)","London, UK",,,03/06/02,2002,6,3,null,529552.8579,180256.6674
26,25,-3.1791074,51.48307,-1,"One Deaf Ear with The Libertines at Barfly Cardiff (June 4, 2002)","Cardiff, UK",,,04/06/02,2002,6,4,null,318220.1137,176672.4087
27,26,-1.46433,52.91655,-1,"The Libertines at The Victoria Inn (June 5, 2002)","Derby, UK",,,05/06/02,2002,6,5,null,436116.4116,335592.9306
28,27,-1.548,53.797,500,"The Libertines with Parva at The Cockpit (June 6, 2002)","Leeds, UK",,,06/06/02,2002,6,6,null,429870.7064,433504.9945
