OBJECTID,id,xcoord,ycoord,venueSize,gigName,locationName,billing,headline,date,year,month,day,time,XBNG,YBNG
1,0,-3.939,51.627,-1,"Electric Six with LITTLE NIKITA and Kasabian at Patti Pavilion (September 5, 2003)","Swansea, UK",,,05/09/03,2003,9,5,null,265881.6977,193801.6995
2,1,-2.593,51.453,1601,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Academy Bristol (November 16, 2003)","Bristol, UK",,,16/11/03,2003,11,16,null,358891.4843,172835.5527
3,2,1.2490275,52.62884,1500,"The Cooper Temple Clause with Kasabian and The Raveonettes at Norwich UEA LCR (November 17, 2003)","Norwich, UK",,,17/11/03,2003,11,17,null,619981.2896,308409.7477
4,3,-1.0919461,50.780563,-1,"The Cooper Temple Clause with Kasabian and The Raveonettes at Pyramids Centre (November 21, 2003)","Portsmouth, UK",,,21/11/03,2003,11,21,null,464115.5341,98280.2128
5,4,-0.2238407,51.503506,2000,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Shepherd's Bush Empire (November 22, 2003)","London, UK",,,22/11/03,2003,11,22,null,523374.4489,179780.9506
6,5,-1.8998971,52.474327,3000,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Academy Birmingham (November 23, 2003)","Birmingham, UK",,,23/11/03,2003,11,23,null,406896.471,286270.8479
7,6,-1.5487168,53.802944,-1,"The Cooper Temple Clause with Kasabian and The Raveonettes at Leeds Metropolitan University, Student Union (November 24, 2003)","Leeds, UK",,,24/11/03,2003,11,24,null,429819.2903,434166.0179
8,7,-0.0884474,51.52857,-1,"Kasabian with The Koreans at Fortress Studio (November 28, 2003)","London, UK",,,28/11/03,2003,11,28,null,532698.1258,182804.8544
9,8,1.2878587,52.631435,290,"Chikinki and Kasabian at Norwich Arts Centre (January 19, 2004)","Norwich, UK",,,19/01/04,2004,1,19,null,622595.3391,308817.5097
10,9,0.19,52.176,-1,"Kasabian and Chikinki at The Boat Race (January 20, 2004)","Cambridge, UK",,,20/01/04,2004,1,20,null,549846.6799,255343.1158
11,10,-0.8904272,52.242805,-1,"Chikinki and Kasabian at The Soundhaus (January 21, 2004)","Northampton, UK",,,21/01/04,2004,1,21,null,475857.9553,261093.024
12,11,-3.10472,51.0211,-1,"Kasabian at Mamba (January 22, 2004)","Taunton, UK",,,22/01/04,2004,1,22,null,322612.5704,125217.3509
13,12,-1.1454736,52.63116,-1,"Kasabian and Chikinki at Sumo (January 23, 2004)","Leicester, UK",,,23/01/04,2004,1,23,null,457933.3282,304054.2981
14,13,-1.5030988,52.412834,-1,"Chikinki with Kasabian and The Hearing at Kasbah (January 24, 2004)","Coventry, UK",,,24/01/04,2004,1,24,null,433895.735,279542.0324
15,14,-1.322272,51.066895,-1,"Kasabian and Chikinki at The Railway Inn (January 25, 2004)","Winchester, UK",,,25/01/04,2004,1,25,null,447585.0984,129947.4291
