id,xcoord,ycoord,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
0,-1.4750974,53.381763,-1,"Arctic Monkeys at The Grapes (June 13, 2003)","Sheffield, UK",,,2003-06-13,2003,6,13,null
1,-1.4665397,53.384872,-1,"Arctic Monkeys with Milburn at The Boardwalk (October 23, 2003)","Sheffield, UK",,,2003-10-23,2003,10,23,null
2,-1.4726095,53.37844,-1,"Arctic Monkeys at The Room (February 3, 2004)","Sheffield, UK",,,2004-02-03,2004,2,3,null
3,-1.468,53.38,-1,"Arctic Monkeys at The Takapuna (February 12, 2004)","Sheffield, UK",,,2004-02-12,2004,2,12,null
4,-1.468,53.38,-1,"Arctic Monkeys with Milburn at Deepend (April 7, 2004)","Sheffield, UK",,,2004-04-07,2004,4,7,null
5,-1.468,53.38,-1,"The Ordinary Boys and Arctic Monkeys at Fuzz Club (April 29, 2004)","Sheffield, UK",,,2004-04-29,2004,4,29,null
6,-1.4750974,53.381763,-1,"Arctic Monkeys with Milburn at The Grapes (May 22, 2004)","Sheffield, UK",,,2004-05-22,2004,5,22,null
7,-1.4750974,53.381763,-1,"Arctic Monkeys with Milburn at The Grapes (June 5, 2004)","Sheffield, UK",,,2004-06-05,2004,6,5,null
8,-1.468,53.38,-1,"Arctic Monkeys at Secret Venue (August 25, 2004)","Sheffield, UK",,,2004-08-25,2004,8,25,null
9,-1.1377037,52.631897,-1,"Arctic Monkeys and The Hurt Process with Stories And Comets at Princess Charlotte (September 7, 2004)","Leicester, UK",,,2004-09-07,2004,9,7,null
10,-1.0837212,53.96427,-1,"Arctic Monkeys at Certificate 18 (September 16, 2004)","York, UK",,,2004-09-16,2004,9,16,null
11,-1.1626892,52.95591,-1,"Arctic Monkeys at Junktion 7 (September 23, 2004)","Nottingham, UK",,,2004-09-23,2004,9,23,null
12,-1.611,54.973,-1,"Arctic Monkeys at The Archer (September 25, 2004)","Newcastle Upon Tyne, UK",,,2004-09-25,2004,9,25,null
13,-2.9791424,53.402172,-1,"Arctic Monkeys at Zanzibar (October 7, 2004)","Liverpool, UK",,,2004-10-07,2004,10,7,null
14,-1.468,53.38,-1,"Arctic Monkeys at Earl Of Arundel (October 8, 2004)","Sheffield, UK",,,2004-10-08,2004,10,8,null
15,-1.4750974,53.381763,-1,"Arctic Monkeys at The Grapes (October 23, 2004)","Sheffield, UK",,,2004-10-23,2004,10,23,null
16,-1.4665397,53.384872,-1,"Monkey Swallows The Universe with Arctic Monkeys at The Boardwalk (November 3, 2004)","Sheffield, UK",,,2004-11-03,2004,11,3,null
17,-1.4849333,53.380283,-1,"Arctic Monkeys at The Harley Hotel & Bar (November 15, 2004)","Sheffield, UK",,,2004-11-15,2004,11,15,null
18,-1.4665397,53.384872,-1,"Arctic Monkeys at The Boardwalk (November 18, 2004)","Sheffield, UK",,,2004-11-18,2004,11,18,null
19,-1.1626892,52.95591,-1,"Arctic Monkeys at Junktion 7 (December 1, 2004)","Nottingham, UK",,,2004-12-01,2004,12,1,null
20,-1.4774791,53.379364,-1,"Arctic Monkeys at Forum Café Bar (December 12, 2004)","Sheffield, UK",,,2004-12-12,2004,12,12,null
21,-1.4648403,53.376324,900,"Arctic Monkeys at The Leadmill (December 18, 2004)","Sheffield, UK",,,2004-12-18,2004,12,18,null
22,-1.4665397,53.384872,-1,"Arctic Monkeys and Milburn at The Boardwalk (January 7, 2005)","Sheffield, UK",,,2005-01-07,2005,1,7,null
23,-2.2426255,53.47363,-1,"Arctic Monkeys at The Attic (January 24, 2005)","Manchester, UK",,,2005-01-24,2005,1,24,null
24,-1.4726095,53.37844,-1,"Arctic Monkeys at The Room (February 2, 2005)","Sheffield, UK",,,2005-02-02,2005,2,2,null
25,-1.1376497,53.52085,200,"Arctic Monkeys at Leopard (February 4, 2005)","Doncaster, UK",,,2005-02-04,2005,2,4,null
