id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
0,-0.1064525,51.53331,183354.17,531322.5,-1,"Blur at Powerhaus (November 1, 1989)","London, UK",,,1989-11-01,1989,11,1,null
1,-0.1070014,51.563408,186699.72,531197.9,-1,"Blur at Sir George Robey (December 2, 1989)","London, UK",,,1989-12-02,1989,12,2,null
2,0.0831734,51.769306,209952.11,543723.75,-1,"Blur at The Square (December 17, 1989)","Harlow, UK",,,1989-12-17,1989,12,17,null
3,-0.1148897,51.465122,175757.08,530932.7,4921,"The Cramps with Mega City Four and Blur at O2 Academy Brixton (February 27, 1990)","London, UK",,,1990-02-27,1990,2,27,null
4,-1.9255185,52.453896,284039.03,405060.84,-1,"Blur at University of Birmingham Guild of Students (March 10, 1990)","Birmingham, UK",,,1990-03-10,1990,3,10,null
5,-1.907,52.478,286721.38,406315.7,-1,"Voice of the Beehive with Salvation, Blur, The Argonauts, and 1 more… at Uni Cellar Bar (March 10, 1990)","Birmingham, UK",,,1990-03-10,1990,3,10,null
6,-0.1388487,51.542355,184302.05,529050.3,-1,"Blur with Motorcycle Boy at The Camden Falcon (March 30, 1990)","London, UK",,,1990-03-30,1990,3,30,null
7,-0.1302396,51.521408,181988.38,529706.75,820,"Wild River Apples with The Right Stuff and Blur at University of London Union (ULU) (April 7, 1990)","London, UK",,,1990-04-07,1990,4,7,null
8,-0.128,51.5078,180479.5,529900.8,275,"Blur at The Borderline (April 10, 1990)","London, UK",,,1990-04-10,1990,4,10,null
9,-0.128,51.5078,180479.5,529900.8,-1,"Blur at Lady Owen Arms (April 14, 1990)","London, UK",,,1990-04-14,1990,4,14,null
10,-0.1064525,51.53331,183354.17,531322.5,-1,"Blur at Powerhaus (April 21, 1990)","London, UK",,,1990-04-21,1990,4,21,null
11,-2.0797293,52.5124,290546.38,394589.78,-1,"Blur at JB's (April 27, 1990)","Dudley, UK",,,1990-04-27,1990,4,27,null
12,0.136877,52.190983,256947.36,546050.25,1050,"Blur at The Junction (April 28, 1990)","Cambridge, UK",,,1990-04-28,1990,4,28,null
13,-0.1407348,51.550365,185189.6,528896.9,-1,"Blur at The Bull And Gate (May 4, 1990)","London, UK",,,1990-05-04,1990,5,4,null
14,-0.1430625,51.53968,183997.28,528765.75,1100,"Blur at Electric Ballroom (May 8, 1990)","London, UK",,,1990-05-08,1990,5,8,null
15,-0.1070014,51.563408,186699.72,531197.9,-1,"Blur at Sir George Robey (May 16, 1990)","London, UK",,,1990-05-16,1990,5,16,null
16,-0.1985375,51.542496,184214.38,524911.5,-1,"Jesus Jones with Ned's Atomic Dustbin and Blur at Kilburn National Ballroom (May 17, 1990)","London, UK",,,1990-05-17,1990,5,17,null
17,-0.1407348,51.550365,185189.6,528896.9,-1,"Blur at The Bull And Gate (May 28, 1990)","London, UK",,,1990-05-28,1990,5,28,null
18,-2.3626993,51.384743,165196.1,374763.06,220,"Blur at Moles Club (June 9, 1990)","Bath, UK",,,1990-06-09,1990,6,9,null
19,-0.138338,51.53462,183442.84,529107.6,1410,"Blur at KOKO (June 12, 1990)","London, UK",,,1990-06-12,1990,6,12,null
20,-0.128,51.5078,180479.5,529900.8,-1,"Blur at Mark Goodier's Evening Session (June 24, 1990)","London, UK",,,1990-06-24,1990,6,24,null
21,-1.6152074,54.97923,565036.56,424624.88,-1,"Blur at Newcastle University Students Union (July 11, 1990)","Newcastle Upon Tyne, UK",,,1990-07-11,1990,7,11,null
22,-4.2653494,55.8625,665576.56,258241.28,300,"Blur at King Tut's Wah Wah Hut (July 12, 1990)","Glasgow, UK",,,1990-07-12,1990,7,12,null
23,-1.1377037,52.631897,304183.44,458353.8,-1,"Blur at Princess Charlotte (July 13, 1990)","Leicester, UK",,,1990-07-13,1990,7,13,null
24,-2.235,53.477,397863.8,384404.94,-1,"Blur at The Boardwalk (July 21, 1990)","Manchester, UK",,,1990-07-21,1990,7,21,null
25,-1.9130725,52.47605,286504.0,405903.56,-1,"Blur at Burberries (July 22, 1990)","Birmingham, UK",,,1990-07-22,1990,7,22,null
26,-0.1390398,51.557907,186031.36,528993.06,600,"Blur at The Dome, Tufnell Park (July 25, 1990)","London, UK",,,1990-07-25,1990,7,25,null
27,-2.0797293,52.5124,290546.38,394589.78,-1,"Blur at JB's (July 27, 1990)","Dudley, UK",,,1990-07-27,1990,7,27,null
28,-2.3626993,51.384743,165196.1,374763.06,220,"Blur at Moles Club (July 28, 1990)","Bath, UK",,,1990-07-28,1990,7,28,null
29,-0.1417947,50.81998,103979.625,530876.25,-1,"Blur with Suede at Zap Club (October 16, 1990)","Brighton, UK",,,1990-10-16,1990,10,16,null
30,-0.766667,51.25,150872.72,486066.88,-1,"Blur at Buzz Club (October 20, 1990)","Aldershot, UK",,,1990-10-20,1990,10,20,null
31,-1.1377037,52.631897,304183.44,458353.8,-1,"Blur at Princess Charlotte (October 23, 1990)","Leicester, UK",,,1990-10-23,1990,10,23,null
32,-1.468,53.38,387179.75,435384.88,-1,"Blur at Maze Bar, Students' Union, University of Sheffield (October 24, 1990)","Sheffield, UK",,,1990-10-24,1990,10,24,null
33,-2.0797293,52.5124,290546.38,394589.78,-1,"Blur at JB's (October 26, 1990)","Dudley, UK",,,1990-10-26,1990,10,26,null
34,-1.86,50.724,91671.41,409880.97,-1,"Blur with The Keatons at Hothouse (November 1, 1990)","Bournemouth, UK",,,1990-11-01,1990,11,1,null
35,-2.593,51.453,172890.88,358800.03,-1,"Blur at Bristol Polytechnic (November 2, 1990)","Bristol, UK",,,1990-11-02,1990,11,2,null
36,-1.5606456,52.37614,275479.22,429905.53,-1,"Blur at University of Warwick Student Union (November 3, 1990)","Coventry, UK",,,1990-11-03,1990,11,3,null
37,-1.6038477,54.972137,564251.44,425356.3,-1,"Blur at Riverside 1 (November 5, 1990)","Newcastle Upon Tyne, UK",,,1990-11-05,1990,11,5,null
38,-1.9130725,52.47605,286504.0,405903.56,-1,"Blur at Burberries (November 6, 1990)","Birmingham, UK",,,1990-11-06,1990,11,6,null
39,0.136877,52.190983,256947.36,546050.25,1050,"Blur at The Junction (November 7, 1990)","Cambridge, UK",,,1990-11-07,1990,11,7,null
40,-1.5398636,53.798473,433698.38,430304.22,-1,"Blur at Duchess of York (November 8, 1990)","Leeds, UK",,,1990-11-08,1990,11,8,null
41,-2.3626993,51.384743,165196.1,374763.06,220,"Blur at Moles Club (November 10, 1990)","Bath, UK",,,1990-11-10,1990,11,10,null
42,-0.1302396,51.521408,181988.38,529706.75,820,"Blur at University of London Union (ULU) (November 11, 1990)","London, UK",,,1990-11-11,1990,11,11,null
43,-2.2475262,53.474308,397567.25,383572.62,-1,"Blur at Haçienda (November 12, 1990)","Manchester, UK",,,1990-11-12,1990,11,12,null
44,-0.948085,51.440952,171909.02,473102.72,-1,"Blur at Reading University Student Union (November 13, 1990)","Reading, UK",,,1990-11-13,1990,11,13,null
45,-1.147,52.954,340001.75,457299.88,-1,"Blur at Venus Club (November 14, 1990)","Nottingham, UK",,,1990-11-14,1990,11,14,null
46,-1.2295461,51.75517,206607.78,453174.66,-1,"Blur at Oxford Brookes University Student Union (November 15, 1990)","Oxford, UK",,,1990-11-15,1990,11,15,null
47,-0.1148897,51.465122,175757.08,530932.7,4921,"The Soup Dragons with Blur at O2 Academy Brixton (December 21, 1990)","London, UK",,,1990-12-21,1990,12,21,null
48,-0.141771,51.552048,185374.97,528820.3,2350,"Blur at The Forum (February 6, 1991)","London, UK",,,1991-02-06,1991,2,6,null
49,-0.1388487,51.542355,184302.05,529050.3,-1,"Blur at The Camden Falcon (March 9, 1991)","London, UK",,,1991-03-09,1991,3,9,null
50,-0.03674,51.476162,177127.33,536327.3,-1,"Lush with Blur and Moose at The Venue, New Cross (March 15, 1991)","London, UK",,,1991-03-15,1991,3,15,null
51,-3.9815784,51.61282,192356.64,262812.47,-1,"Blur at Swansea University (March 19, 1991)","Swansea, UK",,,1991-03-19,1991,3,19,null
52,-2.179404,53.002666,345089.88,387962.03,-1,"Blur at Freetown (March 20, 1991)","Stoke On Trent, UK",,,1991-03-20,1991,3,20,null
53,-2.6,53.3833,387582.6,360095.34,-1,"Blur at Legends (March 22, 1991)","Warrington, UK",,,1991-03-22,1991,3,22,null
54,-0.7497962,52.02841,237452.62,485762.9,400,"Blur at Woughton Centre (March 23, 1991)","Milton Keynes, UK",,,1991-03-23,1991,3,23,null
55,-1.468,53.38,387179.75,435384.88,-1,"Blur at Sheffield Hallam University Student Union (April 18, 1991)","Sheffield, UK",,,1991-04-18,1991,4,18,null
56,-0.7084497,52.479168,287631.28,487705.47,-1,"Blur at Irish Centre (April 19, 1991)","Corby, UK",,,1991-04-19,1991,4,19,null
57,-2.115,52.586,298735.56,392209.44,-1,"Blur at Wolverhampton Polytechnic (April 20, 1991)","Wolverhampton, UK",,,1991-04-20,1991,4,20,null
58,-1.6152074,54.97923,565036.56,424624.88,-1,"Blur with Catherine Wheel at Newcastle University Students Union (April 22, 1991)","Newcastle Upon Tyne, UK",,,1991-04-22,1991,4,22,null
59,-1.553636,53.79886,433735.47,429396.9,-1,"Blur at Warehouse (April 23, 1991)","Leeds, UK",,,1991-04-23,1991,4,23,null
60,-0.128,51.5078,180479.5,529900.8,-1,"Blur at Top Of The Pops (April 24, 1991)","London, UK",,,1991-04-24,1991,4,24,null
61,-2.235,53.477,397863.8,384404.94,-1,"Blur at The Boardwalk (April 25, 1991)","Manchester, UK",,,1991-04-25,1991,4,25,null
