id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
0,-0.0659627,51.46532,175868.1,534330.1,-1,"Suede at White Horse (March 3, 1990)","London, UK",,,1990-03-03,1990,3,3,null
1,-0.1417947,50.81998,103979.625,530876.25,-1,"Blur with Suede at Zap Club (October 16, 1990)","Brighton, UK",,,1990-10-16,1990,10,16,null
2,-0.03674,51.476162,177127.33,536327.3,-1,"The Ukrainians with Suede at The Venue, New Cross (October 1, 1991)","London, UK",,,1991-10-01,1991,10,1,null
3,-0.03674,51.476162,177127.33,536327.3,-1,"Fabulous with Suede and Midway Still at The Venue, New Cross (January 4, 1992)","London, UK",,,1992-01-04,1992,1,4,null
4,-0.03674,51.476162,177127.33,536327.3,-1,"Resque with Suede and The Divine Comedy at The Venue, New Cross (January 25, 1992)","London, UK",,,1992-01-25,1992,1,25,null
5,-0.1388487,51.542355,184302.05,529050.3,-1,"Suede at The Camden Falcon (February 28, 1992)","London, UK",,,1992-02-28,1992,2,28,null
6,0.283333,51.1333,139652.16,559736.8,-1,"Suede at Rumble Club (March 3, 1992)","Tunbridge Wells, UK",,,1992-03-03,1992,3,3,null
7,-0.1064525,51.53331,183354.17,531322.5,-1,"Suede at Powerhaus (March 11, 1992)","London, UK",,,1992-03-11,1992,3,11,null
8,-1.0785611,50.779034,98185.97,464956.84,-1,"Suede at South Parade Pier (March 17, 1992)","Southsea, UK",,,1992-03-17,1992,3,17,null
9,-0.141771,51.552048,185374.97,528820.3,2350,"Suede at The Forum (March 21, 1992)","London, UK",,,1992-03-21,1992,3,21,null
10,-1.0919461,50.780563,98344.41,464011.2,-1,"The House Of Love with Suede and Action Painting! at Pyramids Centre (April 17, 1992)","Portsmouth, UK",,,1992-04-17,1992,4,17,null
11,-0.1442114,50.822224,104224.414,530699.9,-1,"The Fall with Suede at Event 2 (April 20, 1992)","Brighton, UK",,,1992-04-20,1992,4,20,null
12,-0.1218228,51.519604,181802.83,530295.75,-1,"Suede at Africa Centre (April 28, 1992)","London, UK",,,1992-04-28,1992,4,28,null
13,-4.245725,55.85825,665063.94,259453.77,-1,"The Fall with Suede at The City Halls (May 8, 1992)","Glasgow, UK",,,1992-05-08,1992,5,8,null
14,1.1806808,51.081673,136245.39,622749.6,-1,"Suede at Metronome (May 19, 1992)","Folkestone, UK",,,1992-05-19,1992,5,19,null
15,-0.138,50.839,106100.81,531090.25,-1,"The Fall with Suede at The Event (May 20, 1992)","Brighton, UK",,,1992-05-20,1992,5,20,null
16,-0.141771,51.552048,185374.97,528820.3,2350,"Kingmaker with Suede at The Forum (May 21, 1992)","London, UK",,,1992-05-21,1992,5,21,null
17,-1.1522512,52.957825,340423.0,456942.12,-1,"Suede at Nottingham Trent University Student Union: The Pulse (May 23, 1992)","Nottingham, UK",,,1992-05-23,1992,5,23,null
18,-0.8992343,52.239994,260817.12,475155.0,-1,"Suede at Roadmender (May 24, 1992)","Northampton, UK",,,1992-05-24,1992,5,24,null
19,-1.8875484,52.475746,286472.56,407637.03,1500,"Suede at The Institute (May 25, 1992)","Birmingham, UK",,,1992-05-25,1992,5,25,null
20,-0.948085,51.440952,171909.02,473102.72,-1,"Suede at Reading University Student Union (May 26, 1992)","Reading, UK",,,1992-05-26,1992,5,26,null
21,-3.5341196,50.735867,94103.71,291754.34,-1,"Suede at Exeter University (May 28, 1992)","Exeter, UK",,,1992-05-28,1992,5,28,null
22,-0.142103,51.538486,183866.44,528835.6,500,"Suede with Tabitha Zu at The Underworld (June 3, 1992)","London, UK",,,1992-06-03,1992,6,3,null
23,-2.235,53.477,397863.8,384404.94,-1,"Suede at The Boardwalk (June 8, 1992)","Manchester, UK",,,1992-06-08,1992,6,8,null
