id,xcoord,ycoord,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
0,-3.1771,51.478,-1,"The Wonder Stuff with The Libertines at Cardiff University (October 21, 1988)","Cardiff, UK",,,1988-10-21,1988,10,21,null
1,-0.8992343,52.239994,-1,"Kirsty MacColl with The Libertines at Roadmender (May 11, 1995)","Northampton, UK",,,1995-05-11,1995,5,11,null
2,-1.4912771,53.381065,-1,"Kirsty MacColl with The Libertines at Octagon Centre, University of Sheffield (May 18, 1995)","Sheffield, UK",,,1995-05-18,1995,5,18,null
3,-1.8998971,52.474327,250,"The Strokes with The Libertines at O2 Academy 3 Birmingham (June 26, 2001)","Birmingham, UK",,,2001-06-26,2001,6,26,null
4,-0.1888236,51.518295,-1,"The Libertines at Cherry Jam (February 21, 2002)","London, UK",,,2002-02-21,2002,2,21,null
5,-1.5604258,53.806282,-1,"The Strokes with The Libertines and Stereo Total at Leeds University Union (February 23, 2002)","Leeds, UK",,,2002-02-23,2002,2,23,null
6,-0.1335821,50.82869,-1,"The Libertines at Freebutt (March 3, 2002)","Brighton, UK",,,2002-03-03,2002,3,3,null
7,-0.1510835,51.5434,200,"The Vines with The Libertines at The Barfly (March 7, 2002)","London, UK",,,2002-03-07,2002,3,7,null
8,-1.1458642,52.953705,-1,"The Libertines and The Chemistry Experiment at The Bodega Social Club (March 8, 2002)","Nottingham, UK",,,2002-03-08,2002,3,8,null
9,-2.596749,51.4475,-1,"The Vines with The Libertines at The Louisiana (March 9, 2002)","Bristol, UK",,,2002-03-09,2002,3,9,null
10,-0.1335821,50.82869,-1,"The Vines with The Libertines at Freebutt (March 12, 2002)","Brighton, UK",,,2002-03-12,2002,3,12,null
11,-1.5030988,52.412834,-1,"The Libertines and Six by Seven at Kasbah (April 6, 2002)","Coventry, UK",,,2002-04-06,2002,4,6,null
12,0.4799279,51.727863,-1,"The Libertines at Army & Navy Pub (April 12, 2002)","Chelmsford, UK",,,2002-04-12,2002,4,12,null
13,-1.2206911,51.73873,1020,"The Libertines with The Vines at O2 Academy Oxford (April 13, 2002)","Oxford, UK",,,2002-04-13,2002,4,13,null
14,-2.596749,51.4475,-1,"The Libertines at The Louisiana (May 13, 2002)","Bristol, UK",,,2002-05-13,2002,5,13,null
15,-0.0715103,51.52172,650,"The Libertines at 93 Feet East (May 14, 2002)","London, UK",,,2002-05-14,2002,5,14,null
16,-0.4741874,52.139168,100,"The Libertines at Esquires Bedford (May 16, 2002)","Bedford, UK",,,2002-05-16,2002,5,16,null
17,-0.8904272,52.242805,-1,"The Libertines at The Soundhaus (May 17, 2002)","Northampton, UK",,,2002-05-17,2002,5,17,null
18,0.7187767,51.533085,-1,"The Libertines at Chinnery's (May 18, 2002)","Southend, UK",,,2002-05-18,2002,5,18,null
19,-1.8998971,52.474327,250,"The Libertines at O2 Academy 3 Birmingham (May 21, 2002)","Birmingham, UK",,,2002-05-21,2002,5,21,null
20,-1.1458642,52.953705,-1,"The Libertines at The Bodega Social Club (May 22, 2002)","Nottingham, UK",,,2002-05-22,2002,5,22,null
21,-0.1888236,51.518295,-1,"British Sea Power and The Libertines at Cherry Jam (May 23, 2002)","London, UK",,,2002-05-23,2002,5,23,null
22,-2.9791424,53.402172,-1,"The Libertines at Zanzibar (June 1, 2002)","Liverpool, UK",,,2002-06-01,2002,6,1,null
23,0.0831734,51.769306,-1,"The Libertines at The Square (June 2, 2002)","Harlow, UK",,,2002-06-02,2002,6,2,null
24,-0.1346985,51.5064,350,"The Libertines at Institute of Contemporary Arts (ICA) (June 3, 2002)","London, UK",,,2002-06-03,2002,6,3,null
25,-3.1791074,51.48307,-1,"One Deaf Ear with The Libertines at Barfly Cardiff (June 4, 2002)","Cardiff, UK",,,2002-06-04,2002,6,4,null
26,-1.46433,52.91655,-1,"The Libertines at The Victoria Inn (June 5, 2002)","Derby, UK",,,2002-06-05,2002,6,5,null
27,-1.548,53.797,500,"The Libertines with Parva at The Cockpit (June 6, 2002)","Leeds, UK",,,2002-06-06,2002,6,6,null
28,-4.2551727,55.85592,-1,"The Libertines at Glasgow Barfly (June 7, 2002)","Glasgow, UK",,,2002-06-07,2002,6,7,null
29,-1.4648403,53.376324,900,"The Libertines at The Leadmill (June 8, 2002)","Sheffield, UK",,,2002-06-08,2002,6,8,null
30,-1.1377037,52.631897,-1,"The Libertines with The Beatings and Circa 1983 at Princess Charlotte (June 10, 2002)","Leicester, UK",,,2002-06-10,2002,6,10,null
31,-2.1242282,52.587673,-1,"The Libertines at The Little Civic (June 11, 2002)","Wolverhampton, UK",,,2002-06-11,2002,6,11,null
32,-2.2338095,53.481056,200,"The Libertines with The Candys at The Roadhouse (June 12, 2002)","Manchester, UK",,,2002-06-12,2002,6,12,null
33,-3.1791074,51.48307,-1,"The Libertines at Barfly Cardiff (June 13, 2002)","Cardiff, UK",,,2002-06-13,2002,6,13,null
34,-0.2418083,52.56924,-1,"The Libertines at Met Lounge (June 14, 2002)","Peterborough, UK",,,2002-06-14,2002,6,14,null
35,-0.131284,51.516197,-1,"The Libertines at The Metro Club (June 27, 2002)","London, UK",,,2002-06-27,2002,6,27,null
36,-0.0741737,51.418488,-1,"Sex Pistols with …And You Will Know Us by the Trail of Dead, Dropkick Murphys, The Libertines, and 1 more… at Crystal Palace National Sports Centre (July 27, 2002)","London, UK",,,2002-07-27,2002,7,27,null
37,-0.9831782,51.46432,-1,Reading Festival 2002,"Reading, UK",,,2002-08-23,2002,8,23,null
38,-1.548,53.797,-1,Leeds Festival 2002,"Leeds, UK",,,2002-08-23,2002,8,23,null
39,-3.1890717,55.948532,-1,"The Libertines at La Belle Angele (September 3, 2002)","Edinburgh, UK",,,2002-09-03,2002,9,3,null
40,-2.0948224,57.14995,-1,"The Libertines at The Lemon Tree (September 4, 2002)","Aberdeen, UK",,,2002-09-04,2002,9,4,null
41,-1.2339333,54.578888,-1,"The Libertines at The Cornerhouse (September 5, 2002)","Middlesbrough, UK",,,2002-09-05,2002,9,5,null
42,-1.8998971,52.474327,600,"The Libertines at O2 Academy 2 Birmingham (September 6, 2002)","Birmingham, UK",,,2002-09-06,2002,9,6,null
43,-1.1377037,52.631897,-1,"The Libertines with The Candys at Princess Charlotte (September 7, 2002)","Leicester, UK",,,2002-09-07,2002,9,7,null
44,-2.1771865,53.025253,400,"The Libertines at The Sugarmill (September 9, 2002)","Stoke On Trent, UK",,,2002-09-09,2002,9,9,null
45,-1.0780809,53.95925,200,"The Libertines at Fibbers (September 10, 2002)","York, UK",,,2002-09-10,2002,9,10,null
46,-0.8904272,52.242805,-1,"The Libertines at The Soundhaus (September 11, 2002)","Northampton, UK",,,2002-09-11,2002,9,11,null
47,-0.726,52.005,-1,"The Libertines at Zaks (September 12, 2002)","Milton Keynes, UK",,,2002-09-12,2002,9,12,null
48,-1.548,53.797,500,"The Libertines at The Cockpit (September 13, 2002)","Leeds, UK",,,2002-09-13,2002,9,13,null
49,-1.5030988,52.412834,-1,"The Libertines at Kasbah (September 14, 2002)","Coventry, UK",,,2002-09-14,2002,9,14,null
50,1.2878587,52.631435,290,"The Libertines with KILL CITY at Norwich Arts Centre (September 16, 2002)","Norwich, UK",,,2002-09-16,2002,9,16,null
51,0.7187767,51.533085,-1,"The Libertines at Chinnery's (September 17, 2002)","Southend, UK",,,2002-09-17,2002,9,17,null
52,-1.3965323,50.904526,150,"The Libertines at The Joiners (September 18, 2002)","Southampton, UK",,,2002-09-18,2002,9,18,null
53,-2.596749,51.4475,-1,"The Libertines at The Louisiana (September 19, 2002)","Bristol, UK",,,2002-09-19,2002,9,19,null
54,-3.1791074,51.48307,-1,"The Libertines at Barfly Cardiff (September 20, 2002)","Cardiff, UK",,,2002-09-20,2002,9,20,null
55,-3.531809,50.724533,-1,"The Libertines at Cavern Club (September 22, 2002)","Exeter, UK",,,2002-09-22,2002,9,22,null
56,-1.8884754,50.71993,-1,"The Libertines at Mr Smiths (September 23, 2002)","Bournemouth, UK",,,2002-09-23,2002,9,23,null
57,-1.2206911,51.73873,1020,"The Libertines at O2 Academy Oxford (September 25, 2002)","Oxford, UK",,,2002-09-25,2002,9,25,null
58,-0.2418083,52.56924,-1,"The Libertines at Met Lounge (September 26, 2002)","Peterborough, UK",,,2002-09-26,2002,9,26,null
59,-0.137243,50.822556,-1,"The Libertines at Brighton Pavillion (September 28, 2002)","Brighton, UK",,,2002-09-28,2002,9,28,null
60,-1.46433,52.91655,-1,"The Libertines at The Victoria Inn (September 30, 2002)","Derby, UK",,,2002-09-30,2002,9,30,null
61,0.19,52.176,-1,"The Libertines at The Boat Race (October 1, 2002)","Cambridge, UK",,,2002-10-01,2002,10,1,null
62,0.283333,51.1333,-1,"The Libertines at The Forum (October 2, 2002)","Tunbridge Wells, UK",,,2002-10-02,2002,10,2,null
63,-0.1351725,51.516098,350,"The Libertines at 100 Club (October 4, 2002)","London, UK",,,2002-10-04,2002,10,4,null
64,-2.9658353,53.40502,-1,"The Libertines at Liverpool University Guild of Students (Mountford Hall & Stanley Theatre) (October 5, 2002)","Liverpool, UK",,,2002-10-05,2002,10,5,null
65,-0.083714,51.527657,-1,"The Libertines at Charlie Wright's Music Lounge (October 6, 2002)","London, UK",,,2002-10-06,2002,10,6,null
66,-5.930742,54.593197,-1,"Supergrass with The Libertines and Rocket Science at Limelight (October 12, 2002)","Belfast, UK",,,2002-10-12,2002,10,12,null
67,-1.1535941,52.955887,2000,"Supergrass with The Libertines and Rocket Science at Rock City (October 15, 2002)","Nottingham, UK",,,2002-10-15,2002,10,15,null
68,-1.6094534,54.980087,-1,"Supergrass with The Libertines at Northumbria University Student Union (October 16, 2002)","Newcastle Upon Tyne, UK",,,2002-10-16,2002,10,16,null
69,-4.2369184,55.855057,1900,"Supergrass with The Libertines and Rocket Science at Barrowland Ballroom (October 17, 2002)","Glasgow, UK",,,2002-10-17,2002,10,17,null
70,-1.5572104,53.807632,2100,"Supergrass with The Libertines and Rocket Science at The Refectory, Leeds University (October 18, 2002)","Leeds, UK",,,2002-10-18,2002,10,18,null
71,-2.23149,53.464108,-1,"Supergrass with The Libertines and Rocket Science at Club Academy (October 20, 2002)","Manchester, UK",,,2002-10-20,2002,10,20,null
72,-2.6003513,51.4539,1601,"Supergrass with The Libertines and Rocket Science at O2 Academy Bristol (October 22, 2002)","Bristol, UK",,,2002-10-22,2002,10,22,null
73,-0.1379306,51.51614,-1,"The Libertines at HMV Oxford Street (October 23, 2002)","London, UK",,,2002-10-23,2002,10,23,null
74,-1.4055136,50.907608,1749,"Supergrass with The Libertines and Rocket Science at O2 Guildhall Southampton (October 24, 2002)","Southampton, UK",,,2002-10-24,2002,10,24,null
75,-3.1771,51.478,-1,"Supergrass with The Libertines and Rocket Science at Cardiff University (October 25, 2002)","Cardiff, UK",,,2002-10-25,2002,10,25,null
76,0.1194611,52.20439,1800,"Supergrass with The Libertines and Rocket Science at Corn Exchange Cambridge (October 27, 2002)","Cambridge, UK",,,2002-10-27,2002,10,27,null
77,-0.2238407,51.503506,2000,"Supergrass with The Libertines, Rocket Science, and Levellers at O2 Shepherd's Bush Empire (October 28, 2002)","London, UK",,,2002-10-28,2002,10,28,null
78,-0.2238407,51.503506,2000,"Supergrass with The Libertines and Rocket Science at O2 Shepherd's Bush Empire (October 29, 2002)","London, UK",,,2002-10-29,2002,10,29,null
79,-1.1535941,52.955887,2000,"The Vines with The Libertines and Hoggboy at Rock City (October 30, 2002)","Nottingham, UK",,,2002-10-30,2002,10,30,null
80,-0.1148897,51.465122,4921,"Morrissey with Sack and The Libertines at O2 Academy Brixton (November 5, 2002)","London, UK",,,2002-11-05,2002,11,5,null
81,-0.128,51.5078,-1,"Black Rebel Motorcycle Club and The Libertines at Umpire (December 6, 2002)","London, UK",,,2002-12-06,2002,12,6,null
82,-0.1059202,51.534584,800,"The Darkness and The Libertines at O2 Academy Islington (December 10, 2002)","London, UK",,,2002-12-10,2002,12,10,null
83,-0.0676107,51.516865,-1,"The Libertines with Razorlight, The Cherubs, and KILL CITY at Rhythm Factory (December 18, 2002)","London, UK",,,2002-12-18,2002,12,18,null
84,-0.110364,51.52989,-1,"The Libertines at Filthy McNasty (January 16, 2003)","London, UK",,,2003-01-16,2003,1,16,null
85,-0.1304708,51.515884,2000,"The Libertines with The Detriot Cobras, The Sights, and Hiss at Astoria (February 12, 2003)","London, UK",,,2003-02-12,2003,2,12,null
86,-0.0676107,51.516865,-1,"The Libertines at Rhythm Factory (February 14, 2003)","London, UK",,,2003-02-14,2003,2,14,null
87,-1.4648403,53.376324,900,"British Sea Power and The Libertines at The Leadmill (February 22, 2003)","Sheffield, UK",,,2003-02-22,2003,2,22,null
88,-4.2653494,55.8625,300,"The Libertines at King Tut's Wah Wah Hut (February 23, 2003)","Glasgow, UK",,,2003-02-23,2003,2,23,null
89,-2.9658353,53.40502,-1,"The Libertines at Liverpool University Guild of Students (Mountford Hall & Stanley Theatre) (February 24, 2003)","Liverpool, UK",,,2003-02-24,2003,2,24,null
90,-1.147,52.954,-1,"The Libertines at Unknown venue (February 25, 2003)","Nottingham, UK",,,2003-02-25,2003,2,25,null
91,-0.128,51.5078,-1,"The Libertines at Albion Rooms (March 21, 2003)","London, UK",,,2003-03-21,2003,3,21,null
92,-0.1032592,51.545204,150,"The Libertines at Buffalo Bar (March 27, 2003)","London, UK",,,2003-03-27,2003,3,27,null
93,-0.1510835,51.5434,200,"The Libertines at The Barfly (March 28, 2003)","London, UK",,,2003-03-28,2003,3,28,null
94,-0.1125918,51.53664,-1,"The Libertines at Lark In The Park (April 3, 2003)","London, UK",,,2003-04-03,2003,4,3,null
95,-0.1510835,51.5434,200,"The Libertines with The Cribs at The Barfly (April 4, 2003)","London, UK",,,2003-04-04,2003,4,4,null
96,-0.128,51.5078,-1,"The Libertines at Bar Undersolo (June 1, 2003)","London, UK",,,2003-06-01,2003,6,1,null
97,-0.128,51.5078,-1,"The Libertines at Romford Rd (June 3, 2003)","London, UK",,,2003-06-03,2003,6,3,null
98,-2.23149,53.464108,1500,"The Libertines at Manchester Academy (June 20, 2003)","Manchester, UK",,,2003-06-20,2003,6,20,null
99,-3.04363,53.439,-1,"The Coral with The Libertines, The Thrills, The Bees (UK), and 2 more… at King's Parade Big Top (June 21, 2003)","New Brighton, UK",,,2003-06-21,2003,6,21,null
100,-4.2369184,55.855057,1900,"The Libertines with Franz Ferdinand at Barrowland Ballroom (June 22, 2003)","Glasgow, UK",,,2003-06-22,2003,6,22,null
101,-1.548,53.797,500,"The Libertines at The Cockpit (June 24, 2003)","Leeds, UK",,,2003-06-24,2003,6,24,null
102,-0.141771,51.552048,2350,"The Libertines with The Buff Medways and The Stands at The Forum (June 25, 2003)","London, UK",,,2003-06-25,2003,6,25,null
103,-2.587,51.1663,2350,Glastonbury Festival 2003,"Pilton, UK",,,2003-06-27,2003,6,27,null
104,-3.04215,51.1617,2350,Doves Glastonbury Festival 2003,"Somerset, UK",,,2003-06-27,2003,6,27,null
105,-0.128,51.5078,-1,"The Libertines at 61 Gascony Ave (July 26, 2003)","London, UK",,,2003-07-26,2003,7,26,null
106,-0.9831782,51.46432,-1,Reading Festival 2003,"Reading, UK",,,2003-08-22,2003,8,22,null
107,-1.39181,53.9332,-1,Leeds Festival 2003,"Wetherby, UK",,,2003-08-22,2003,8,22,null
108,0.5222792,51.381775,-1,"The Libertines with The Cherubs at Tap 'n' Tin (October 8, 2003)","Chatham, UK",,,2003-10-08,2003,10,8,null
109,-0.128,51.5078,-1,"The Libertines at Regent's Park Open Air Theatre (October 13, 2003)","London, UK",,,2003-10-13,2003,10,13,null
110,-0.2040384,51.52149,-1,"The Fiery Furnaces with The Libertines at Neighbourhood (October 17, 2003)","London, UK",,,2003-10-17,2003,10,17,null
111,-0.0368543,51.671,-1,"The Libertines at The Duke of Clarence (October 18, 2003)","London, UK",,,2003-10-18,2003,10,18,null
112,-0.0368543,51.671,-1,"The Libertines at The Duke of Clarence (November 5, 2003)","London, UK",,,2003-11-05,2003,11,5,null
113,-0.128,51.5078,-1,"The Libertines at Albion Rooms (November 11, 2003)","London, UK",,,2003-11-11,2003,11,11,null
114,-0.0368543,51.671,-1,"The Libertines at The Duke of Clarence (November 19, 2003)","London, UK",,,2003-11-19,2003,11,19,null
115,-0.110364,51.52989,-1,"The Libertines at Filthy McNasty (December 1, 2003)","London, UK",,,2003-12-01,2003,12,1,null
116,-0.0676107,51.516865,-1,"The Libertines with The Cherubs at Rhythm Factory (December 5, 2003)","London, UK",,,2003-12-05,2003,12,5,null
117,-0.1510835,51.5434,200,"The Libertines at The Barfly (December 12, 2003)","London, UK",,,2003-12-12,2003,12,12,null
118,-0.141771,51.552048,2350,"The Libertines with Chas 'n' Dave and KILL CITY at The Forum (December 16, 2003)","London, UK",,,2003-12-16,2003,12,16,null
119,-0.141771,51.552048,2350,"The Libertines with Bandits at The Forum (December 17, 2003)","London, UK",,,2003-12-17,2003,12,17,null
120,-0.141771,51.552048,2350,"The Libertines with Babyshambles and The Beatings at The Forum (December 18, 2003)","London, UK",,,2003-12-18,2003,12,18,null
121,-0.110364,51.52989,-1,"The Libertines at Filthy McNasty (December 22, 2003)","London, UK",,,2003-12-22,2003,12,22,null
122,-0.0676107,51.516865,-1,"The Libertines at Rhythm Factory (December 23, 2003)","London, UK",,,2003-12-23,2003,12,23,null
123,-0.1032592,51.545204,150,"The Libertines at Buffalo Bar (January 11, 2004)","London, UK",,,2004-01-11,2004,1,11,null
124,-1.611,54.973,-1,"The Libertines at Bulletproof (January 16, 2004)","Newcastle Upon Tyne, UK",,,2004-01-16,2004,1,16,null
125,-0.128,51.5078,-1,"The Libertines at Peter'S Flat (January 18, 2004)","London, UK",,,2004-01-18,2004,1,18,null
126,-2.9791424,53.402172,-1,"The Libertines at Zanzibar (February 15, 2004)","Liverpool, UK",,,2004-02-15,2004,2,15,null
127,-0.0368543,51.671,-1,"The Libertines at The Duke of Clarence (February 18, 2004)","London, UK",,,2004-02-18,2004,2,18,null
128,-0.0676107,51.516865,-1,"The Libertines with Selfish Cunt at Rhythm Factory (February 26, 2004)","London, UK",,,2004-02-26,2004,2,26,null
129,-1.8998971,52.474327,3000,"The Libertines with The Ordinary Boys and The Cribs at O2 Academy Birmingham (February 29, 2004)","Birmingham, UK",,,2004-02-29,2004,2,29,null
130,-2.23149,53.464108,1500,"The Libertines with Bandits at Manchester Academy (March 1, 2004)","Manchester, UK",,,2004-03-01,2004,3,1,null
131,-4.2369184,55.855057,1900,"The Libertines with Eastern Lane and RAISING KAIN at Barrowland Ballroom (March 2, 2004)","Glasgow, UK",,,2004-03-02,2004,3,2,null
132,-2.5975637,51.45598,-1,"The Libertines with The Cherubs and Junkbox at Colston Hall (March 4, 2004)","Bristol, UK",,,2004-03-04,2004,3,4,null
133,-0.1148897,51.465122,4921,"The Libertines with Selfish Cunt and LEFT HAND at O2 Academy Brixton (March 5, 2004)","London, UK",,,2004-03-05,2004,3,5,null
134,-0.1148897,51.465122,4921,"The Libertines with Wolfman at O2 Academy Brixton (March 6, 2004)","London, UK",,,2004-03-06,2004,3,6,null
135,-0.1148897,51.465122,4921,"The Libertines with Chas 'n' Dave and The Others at O2 Academy Brixton (March 7, 2004)","London, UK",,,2004-03-07,2004,3,7,null
136,-0.1304708,51.515884,2000,"The Libertines with Buzzcocks and The Eighties Matchbox B-line Disaster at Astoria (March 16, 2004)","London, UK",,,2004-03-16,2004,3,16,null
137,-0.128,51.5078,-1,"The Libertines at Colour Bar (March 21, 2004)","London, UK",,,2004-03-21,2004,3,21,null
138,-0.0676107,51.516865,-1,"The Libertines at Rhythm Factory (March 23, 2004)","London, UK",,,2004-03-23,2004,3,23,null
139,-0.0990931,51.494812,2600,"The Libertines with M.A.S.S. and LEFT HAND at Coronet Theatre (April 10, 2004)","London, UK",,,2004-04-10,2004,4,10,null
140,-0.1319453,51.510433,-1,"The Libertines at Café De París (April 13, 2004)","London, UK",,,2004-04-13,2004,4,13,null
141,-2.181132,53.02291,-1,"Babyshambles with The Libertines at The Underground (April 21, 2004)","Stoke On Trent, UK",,,2004-04-21,2004,4,21,null
142,-0.128,51.5078,-1,"The Libertines at Filthy McNasties (May 6, 2004)","London, UK",,,2004-05-06,2004,5,6,null
143,-0.1319453,51.510433,-1,"The Libertines at Café De París (May 12, 2004)","London, UK",,,2004-05-12,2004,5,12,null
144,-0.128,51.5078,-1,"The Libertines at Infinity Club (June 7, 2004)","London, UK",,,2004-06-07,2004,6,7,null
145,-0.1319453,51.510433,-1,"The Libertines at Café De París (June 12, 2004)","London, UK",,,2004-06-12,2004,6,12,null
146,-3.4229,56.20613,-1,T In The Park 2004,"Kinross, UK",,,2004-07-10,2004,7,10,null
147,-0.9831782,51.46432,-1,Reading Festival 2004,"Reading, UK",,,2004-08-27,2004,8,27,null
148,-1.39181,53.9332,-1,Leeds Festival 2004,"Wetherby, UK",,,2004-08-27,2004,8,27,null
149,-0.9848147,51.463963,-1,"Morrissey with The White Stripes, The Libertines, Franz Ferdinand, and 1 more… at Reading Festival (August 28, 2004)","Reading, UK",,,2004-08-28,2004,8,28,null
150,-0.1510835,51.5434,200,"The Libertines and Babyshambles at The Barfly (December 3, 2004)","London, UK",,,2004-12-03,2004,12,3,null
151,-0.138338,51.53462,1410,"The Libertines, The Concretes, and Yeti at KOKO (February 18, 2005)","London, UK",,,2005-02-18,2005,2,18,null
152,-0.138338,51.53462,1410,"The Libertines and Supergrass with M.A.S.S. at KOKO (October 22, 2005)","London, UK",,,2005-10-22,2005,10,22,null
153,-0.141771,51.552048,2350,"The Libertines at The Forum (August 24, 2010)","London, UK",,,2010-08-24,2010,8,24,null
154,-0.141771,51.552048,2350,"The Libertines with The Valentines at The Forum (August 25, 2010)","London, UK",,,2010-08-25,2010,8,25,19:00:00
155,-0.969,51.454,2350,Reading Festival 2010,"Reading, UK",,,2010-08-27,2010,8,27,10:00:00
156,-1.548,53.797,2350,Leeds Festival 2010,"Leeds, UK",,,2010-08-27,2010,8,27,19:00:00
157,-4.2369184,55.855057,1900,"The Libertines at Barrowland Ballroom (June 28, 2014)","Glasgow, UK",,,2014-06-28,2014,6,28,19:00:00
158,-4.2369184,55.855057,1900,"The Libertines at Barrowland Ballroom (June 29, 2014)","Glasgow, UK",,,2014-06-29,2014,6,29,19:00:00
159,-0.128,51.5078,150000,Barclaycard British Summer Time 2014,"London, UK",,,2014-07-05,2014,7,5,12:30:00
