id,xcoord,ycoord,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
0,-2.61667,53.5333,-1,"The Verve at The Honeysuckle (August 15, 1990)","Wigan, UK",,,1990-08-15,1990,8,15,null
1,-2.235,53.477,-1,"The Verve at The Boardwalk (February 3, 1991)","Manchester, UK",,,1991-02-03,1991,2,3,null
2,-2.235,53.477,-1,"The Verve at The Boardwalk (February 22, 1991)","Manchester, UK",,,1991-02-22,1991,2,22,null
3,-2.43333,53.5833,-1,"The Verve at Bolton Institute Students Union (March 9, 1991)","Bolton, UK",,,1991-03-09,1991,3,9,null
4,-2.235,53.477,-1,"The Verve at The Boardwalk (March 14, 1991)","Manchester, UK",,,1991-03-14,1991,3,14,null
5,-2.7391498,53.45225,-1,"The Verve at Citadel Arts Center (March 16, 1991)","St Helens, UK",,,1991-03-16,1991,3,16,null
6,-2.61667,53.5333,-1,"The Verve at Mill At The Pier (March 23, 1991)","Wigan, UK",,,1991-03-23,1991,3,23,null
7,-2.7391498,53.45225,-1,"The Verve at Citadel Arts Center (April 3, 1991)","St Helens, UK",,,1991-04-03,1991,4,3,null
8,-2.235,53.477,-1,"The Verve at The Boardwalk (April 19, 1991)","Manchester, UK",,,1991-04-19,1991,4,19,null
9,-2.979,53.402,-1,"The Verve at St. Catherine's College (May 10, 1991)","Liverpool, UK",,,1991-05-10,1991,5,10,null
10,-2.61667,53.5333,-1,"The Verve at Upholland Working Man's Club (May 17, 1991)","Wigan, UK",,,1991-05-17,1991,5,17,null
11,-2.235,53.477,-1,"The Verve at The Boardwalk (June 27, 1991)","Manchester, UK",,,1991-06-27,1991,6,27,null
12,-0.2111433,51.47137,-1,"The Verve at King's Head, Fulham Broadway (July 3, 1991)","London, UK",,,1991-07-03,1991,7,3,null
13,-2.7391498,53.45225,-1,"The Verve at Citadel Arts Center (November 2, 1991)","St Helens, UK",,,1991-11-02,1991,11,2,null
14,-2.43333,53.5833,-1,"The Verve at Crown And Cushion (November 5, 1991)","Bolton, UK",,,1991-11-05,1991,11,5,null
15,-0.1388487,51.542355,-1,"The Verve at The Camden Falcon (November 25, 1991)","London, UK",,,1991-11-25,1991,11,25,null
16,-0.1302396,51.521408,820,"Moose and The Verve at University of London Union (ULU) (January 10, 1992)","London, UK",,,1992-01-10,1992,1,10,null
17,-0.1390398,51.557907,600,"The Verve at The Dome, Tufnell Park (January 22, 1992)","London, UK",,,1992-01-22,1992,1,22,null
18,-0.128,51.5078,275,"The Verve at The Borderline (January 30, 1992)","London, UK",,,1992-01-30,1992,1,30,null
